"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Communications & Engagement","600111","SEO","38300","46000","Policy Adviser","23","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Communications & Engagement","600111","Grade 7","48500","60078","Team Leader","27.62777777777778","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Communications & Engagement","600111","Grade 6","59500","71000","Team Leader","11.9","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Communications & Engagement","600111","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Conflict, Stabilisation & Mediation","600017","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Conflict, Stabilisation & Mediation","600017","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Conflict, Stabilisation & Mediation","600017","HEO","28000","38595","Policy Adviser","18.9","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Conflict, Stabilisation & Mediation","600017","SEO","38300","46000","Policy Adviser","14.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Conflict, Stabilisation & Mediation","600017","Grade 7","48500","60078","Team Leader","21.8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Conflict, Stabilisation & Mediation","600017","Grade 6","59500","71000","Team Leader","21.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Conflict, Stabilisation & Mediation","600017","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Consular & Crisis","600061","AO","21493","25433","Admin Support Officer","22.55","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Consular & Crisis","600061","EO","24300","33929","Executive Officer","79.8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Consular & Crisis","600061","HEO","28000","38595","Policy Adviser","65.125","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Consular & Crisis","600061","SEO","38300","46000","Policy Adviser","37","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Consular & Crisis","600061","Grade 7","48500","60078","Team Leader","19.016666666666666","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Consular & Crisis","600061","Grade 6","59500","71000","Team Leader","13.2","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Consular & Crisis","600061","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Country Programmes Cabinet","800001","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Country Programmes Cabinet","800001","HEO","28000","38595","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Country Programmes Cabinet","800001","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Country Programmes Cabinet","800001","Grade 7","48500","60078","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Country Programmes Cabinet","800001","Grade 6","59500","71000","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Country Programmes Cabinet","800001","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Defence & International Security","600051","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Defence & International Security","600051","EO","24300","33929","Executive Officer","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Defence & International Security","600051","HEO","28000","38595","Policy Adviser","28","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Defence & International Security","600051","SEO","38300","46000","Policy Adviser","8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Defence & International Security","600051","Grade 7","48500","60078","Team Leader","31","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Defence & International Security","600051","Grade 6","59500","71000","Team Leader","15.4","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Defence & International Security","600051","SCS1","71000","117800","Senior Policy Adviser","5.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Delivery & Analysis","800004","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Delivery & Analysis","800004","EO","24300","33929","Executive Officer","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Delivery & Analysis","800004","HEO","28000","38595","Policy Adviser","21.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Delivery & Analysis","800004","SEO","38300","46000","Policy Adviser","24.040533033033032","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Delivery & Analysis","800004","Grade 7","48500","60078","Team Leader","38.78810810810812","Policy Profession","Unknown"
